# x,y,type
-15.000,1.500,0
-15.000,-1.500,1
-12.000,1.500,0
-12.000,-1.500,1
-9.000,1.500,0
-9.000,-1.500,1
-6.000,1.500,0
-6.000,-1.500,1
-3.000,1.500,0
-3.000,-1.500,1
0.000,1.500,0
0.000,-1.500,1
7.625,9.125,1
10.625,9.125,0
7.365,11.098,1
10.263,11.875,0
6.603,12.938,1
9.202,14.438,0
5.392,14.517,1
7.513,16.638,0
3.813,15.728,1
5.313,18.327,0
1.973,16.490,1
2.750,19.388,0
0.000,16.750,1
0.000,19.750,0
-1.973,16.490,1
-2.750,19.388,0
-3.812,15.728,1
-5.312,18.327,0
-5.392,14.517,1
-7.513,16.638,0
-6.603,12.938,1
-9.202,14.438,0
-7.365,11.098,1
-10.263,11.875,0
-7.625,9.125,1
-10.625,9.125,0
-7.365,7.152,1
-10.263,6.375,0
-6.603,5.312,1
-9.202,3.812,0
-5.392,3.733,1
-7.513,1.612,0
-3.813,2.522,1
-5.313,-0.077,0
-1.973,1.760,1
-2.750,-1.138,0
-0.000,1.500,1
-0.000,-1.500,0
1.973,1.760,1
2.750,-1.138,0
3.813,2.522,1
5.313,-0.077,0
5.392,3.733,1
7.513,1.612,0
6.603,5.312,1
9.202,3.812,0
7.365,7.152,1
10.263,6.375,0
7.625,-9.125,0
10.625,-9.125,1
7.365,-7.152,0
10.263,-6.375,1
6.603,-5.312,0
9.202,-3.813,1
5.392,-3.733,0
7.513,-1.612,1
3.813,-2.522,0
5.313,0.077,1
1.973,-1.760,0
2.750,1.138,1
0.000,-1.500,0
0.000,1.500,1
-1.973,-1.760,0
-2.750,1.138,1
-3.812,-2.522,0
-5.312,0.077,1
-5.392,-3.733,0
-7.513,-1.612,1
-6.603,-5.312,0
-9.202,-3.813,1
-7.365,-7.152,0
-10.263,-6.375,1
-7.625,-9.125,0
-10.625,-9.125,1
-7.365,-11.098,0
-10.263,-11.875,1
-6.603,-12.938,0
-9.202,-14.438,1
-5.392,-14.517,0
-7.513,-16.638,1
-3.813,-15.728,0
-5.313,-18.327,1
-1.973,-16.490,0
-2.750,-19.388,1
-0.000,-16.750,0
-0.000,-19.750,1
1.973,-16.490,0
2.750,-19.388,1
3.813,-15.728,0
5.313,-18.327,1
5.392,-14.517,0
7.513,-16.638,1
6.603,-12.938,0
9.202,-14.438,1
7.365,-11.098,0
10.263,-11.875,1
